artista,musica,album,kmeans_cluster
Logic,Slave,Bobby Tarantino,0
One Direction,18,FOUR,2
One Direction,18,FOUR,3
One Direction,18,FOUR,0
Michael Bublé,Everything,Call Me Irresponsible,2
Michael Bublé,Everything,Call Me Irresponsible,2
Michael Bublé,Everything,Call Me Irresponsible,8
Michael Bublé,Everything,Call Me Irresponsible,0
Michael Bublé,Everything,Call Me Irresponsible,0
Michael Bublé,Everything,Call Me Irresponsible,7
Michael Bublé,Everything,Call Me Irresponsible,6
Owl City,Angels,All Things Bright And Beautiful,8
Deep Meditation,Inner Peace,Deep Meditation,8
Deep Meditation,Inner Peace,Deep Meditation,5
Decyfer Down,Fading,Crash,2
Khalid,Hopeless,American Teen,8
Khalid,Hopeless,American Teen,2
Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),Luv Is Rage 2,2
Robbie Williams,Feel,Escapology,8
Robbie Williams,Feel,Escapology,3
Robbie Williams,Feel,Escapology,7
Marian Hill,Down,ACT ONE,2
Marian Hill,Down,ACT ONE,2
Marian Hill,Down,ACT ONE,5
Marian Hill,Down,ACT ONE,4
Marian Hill,Down,ACT ONE,0
Marian Hill,Down,ACT ONE,0
Michael Jackson,Off the Wall,Off the Wall,2
Anika Noni Rose,Almost There,The Princess and the Frog,8
TENDER,Violence,EP III,2
TENDER,Violence,EP III,3
21 Savage,Numb,Issa Album,2
21 Savage,Numb,Issa Album,8
21 Savage,Numb,Issa Album,8
21 Savage,Numb,Issa Album,2
21 Savage,Numb,Issa Album,2
21 Savage,Numb,Issa Album,2
21 Savage,Numb,Issa Album,4
21 Savage,Numb,Issa Album,4
21 Savage,Numb,Issa Album,7
21 Savage,Numb,Issa Album,6
Neck Deep,December,Life's Not Out To Get You,2
Maroon 5,Feelings,V,2
Maroon 5,Feelings,V,4
Maroon 5,Feelings,V,0
Portugal. The Man,Smile,Evil Friends,2
Portugal. The Man,Smile,Evil Friends,2
Portugal. The Man,Smile,Evil Friends,3
Portugal. The Man,Smile,Evil Friends,6
Portugal. The Man,Smile,Evil Friends,4
Portugal. The Man,Smile,Evil Friends,1
Breaking Benjamin,Defeated,Dark Before Dawn,2
THEY.,Bad Habits,Nü Religion: HYENA,2
THEY.,Bad Habits,Nü Religion: HYENA,2
THEY.,Bad Habits,Nü Religion: HYENA,5
Papa Roach,Scars,Getting Away With Murder,2
Papa Roach,Scars,Getting Away With Murder,2
Papa Roach,Scars,Getting Away With Murder,2
Papa Roach,Scars,Getting Away With Murder,3
Papa Roach,Scars,Getting Away With Murder,3
Papa Roach,Scars,Getting Away With Murder,4
Papa Roach,Scars,Getting Away With Murder,4
Papa Roach,Scars,Getting Away With Murder,4
Papa Roach,Scars,Getting Away With Murder,4
BØRNS,Holy Ghost,Dopamine,4
Anthony Amorim,Lockdown,2004,8
Anthony Amorim,Lockdown,2004,3
Ferras,Legends Never Die,Ferras,4
Smokepurpp,Glock In My Benz,Glock In My Benz,2
A$AP Rocky,Fashion Killa,LONG.LIVE.A$AP (Deluxe Version),4
MKTO,American Dream,MKTO,4
Breaking Benjamin,Forget It,We Are Not Alone,2
Cam,My Mistake,Untamed,4
Ron Pope,Give You Up,The New England Sessions,2
Ron Pope,Give You Up,The New England Sessions,2
Stick Figure,Breathe,Burial Ground,2
Stick Figure,Breathe,Burial Ground,2
Stick Figure,Breathe,Burial Ground,2
Tash Sultana,Gemini,Notion,2
Dustin Tebbutt,Bones,Bones EP,2
Dustin Tebbutt,Bones,Bones EP,8
Dustin Tebbutt,Bones,Bones EP,8
Dustin Tebbutt,Bones,Bones EP,8
Dustin Tebbutt,Bones,Bones EP,3
Dustin Tebbutt,Bones,Bones EP,4
Ghost Loft,Overflow,Overflow,2
Ghost Loft,Overflow,Overflow,2
The Academic,Different,Different,2
The Academic,Different,Different,4
The Academic,Different,Different,3
The Academic,Different,Different,3
The Academic,Different,Different,7
Cigarettes After Sex,K.,Cigarettes After Sex,4
Snow Tha Product,Waste of Time,Waste of Time,2
Lana Del Rey,In My Feelings,Lust For Life,4
Lana Del Rey,In My Feelings,Lust For Life,5
Lana Del Rey,In My Feelings,Lust For Life,7
Lana Del Rey,In My Feelings,Lust For Life,0
Lana Del Rey,In My Feelings,Lust For Life,1
Vega4,Life is Beautiful,You and Others,2
Vega4,Life is Beautiful,You and Others,3
Foster The People,Houdini,Torches,2
Russ,Problems,Brain Dead,2
Russ,Problems,Brain Dead,3
Russ,Problems,Brain Dead,3
Fifth Harmony,Reflection,Reflection,8
Fifth Harmony,Reflection,Reflection,8
Fifth Harmony,Reflection,Reflection,4
Brendan Maclean,Stupid,Stupid,4
Brendan Maclean,Stupid,Stupid,3
Florida Georgia Line,Headphones,Here's To The Good Times...This Is How We Roll,2
NF,Face It,Mansion,8
NF,Face It,Mansion,2
Rihanna,Skin,Loud,2
Rihanna,Skin,Loud,2
Rihanna,Skin,Loud,6
Prince,Kiss,Parade - Music From The Motion Picture Under The Cherry Moon,2
City and Colour,Runaway,If I Should Go Before You,2
City and Colour,Runaway,If I Should Go Before You,8
City and Colour,Runaway,If I Should Go Before You,2
City and Colour,Runaway,If I Should Go Before You,2
City and Colour,Runaway,If I Should Go Before You,3
City and Colour,Runaway,If I Should Go Before You,4
City and Colour,Runaway,If I Should Go Before You,4
City and Colour,Runaway,If I Should Go Before You,1
City and Colour,Runaway,If I Should Go Before You,1
Skeme,Every Day,Every Day (feat. Shon Doe) - Single,4
Darkside,Heart,Psychic,8
Darkside,Heart,Psychic,3
Flobots,Handlebars,Fight With Tools,2
Flobots,Handlebars,Fight With Tools,6
Coldplay,Shiver,Parachutes,4
Coldplay,Shiver,Parachutes,8
Eyes Set To Kill,Reach,The Best of ESTK,2
Eyes Set To Kill,Reach,The Best of ESTK,2
Eyes Set To Kill,Reach,The Best of ESTK,4
Bleachers,Take Me Away,Strange Desire,2
Bleachers,Take Me Away,Strange Desire,3
Germ,Bag of Dope,Badshit (Bootleg),4
Life of Dillon,Rocks,Rocks,2
Life of Dillon,Rocks,Rocks,2
Hit The Lights,Bodybag,This is a Stick Up…don't Make It a Murder,2
Hit The Lights,Bodybag,This is a Stick Up…don't Make It a Murder,4
Packy,Static,The Parlay,4
Rebelution,More Than Ever,Bright Side of Life,2
Florida Georgia Line,Smoke,Anything Goes,4
Two Story Road,Arson,Two Story Road - EP,4
Carousel,Another Day,Another Day,2
Carousel,Another Day,Another Day,0
Built By Titan,Dangerous,Dangerous,4
Built By Titan,Dangerous,Dangerous,2
Built By Titan,Dangerous,Dangerous,0
Built By Titan,Dangerous,Dangerous,0
Built By Titan,Dangerous,Dangerous,0
Jack Garratt,Far Cry,Far Cry,8
Omarion,Entourage,21,2
The Strokes,Someday,Is This It,2
The Strokes,Someday,Is This It,4
The Strokes,Someday,Is This It,1
Imagine Dragons,Demons,Night Visions,4
Imagine Dragons,Demons,Night Visions,4
Imagine Dragons,Demons,Night Visions,3
Imagine Dragons,Demons,Night Visions,3
Imagine Dragons,Demons,Night Visions,1
Imagine Dragons,Demons,Night Visions,8
Låpsley,Pick Me Up,Monday EP,2
Paramore,When It Rains,RIOT!,8
Paramore,When It Rains,RIOT!,4
Big Sean,Moves,I Decided.,2
Big Sean,Moves,I Decided.,5
Big Sean,Moves,I Decided.,7
Flosstradamus,Mosh Pit,Mosh Pit (The Remixes),2
Flosstradamus,Mosh Pit,Mosh Pit (The Remixes),5
Keyshia Cole,Trust,A Different Me,2
Keyshia Cole,Trust,A Different Me,2
Keyshia Cole,Trust,A Different Me,3
Keyshia Cole,Trust,A Different Me,5
"Tyler, The Creator",Glitter,Flower Boy,8
"Tyler, The Creator",Glitter,Flower Boy,6
Sidewalk Prophets,Save My Life,Live Like That,2
One Direction,No Control,FOUR,4
Tori Kelly,Hollow,Hollow,2
Tori Kelly,Hollow,Hollow,2
Tori Kelly,Hollow,Hollow,2
Tori Kelly,Hollow,Hollow,2
Tori Kelly,Hollow,Hollow,8
Tori Kelly,Hollow,Hollow,2
Tori Kelly,Hollow,Hollow,2
Tori Kelly,Hollow,Hollow,3
Tori Kelly,Hollow,Hollow,5
Tori Kelly,Hollow,Hollow,4
Travis Scott,lose,Birds In The Trap Sing McKnight,8
Logic,Killing Spree,Everybody,4
Speaker Knockerz,Lonely,Married to the Money II #Mttm2,8
Speaker Knockerz,Lonely,Married to the Money II #Mttm2,8
Speaker Knockerz,Lonely,Married to the Money II #Mttm2,3
Speaker Knockerz,Lonely,Married to the Money II #Mttm2,3
Speaker Knockerz,Lonely,Married to the Money II #Mttm2,7
Speaker Knockerz,Lonely,Married to the Money II #Mttm2,7
Speaker Knockerz,Lonely,Married to the Money II #Mttm2,7
Dave Matthews Band,If I Had It All,Everyday,8
St. Vincent,Landmines,Marry Me,2
Mariah Carey,Hero,Music Box,2
Mariah Carey,Hero,Music Box,4
Mariah Carey,Hero,Music Box,0
Lecrae,More,Rehab: The Overdose,2
Johnnyswim,Diamonds,Diamonds,8
Johnnyswim,Diamonds,Diamonds,2
Johnnyswim,Diamonds,Diamonds,3
Johnnyswim,Diamonds,Diamonds,1
YoungBoy Never Broke Again,Hell and Back,38 Baby,2
MiM0SA,Drippin,Silver Lining,2
Fifth Harmony,Worth It,Reflection,2
Fifth Harmony,Worth It,Reflection,3
Drake,Miss Me,Thank Me Later,2
Drake,Miss Me,Thank Me Later,8
Drake,Miss Me,Thank Me Later,3
Kari Jobe,Stars in the Sky,Where I Find You,8
WALK THE MOON,Tightrope,Walk The Moon,8
WALK THE MOON,Tightrope,Walk The Moon,3
WALK THE MOON,Tightrope,Walk The Moon,0
Ceramic Animal,Tonight,The Cart,8
Ceramic Animal,Tonight,The Cart,2
Ceramic Animal,Tonight,The Cart,3
Ceramic Animal,Tonight,The Cart,3
Ceramic Animal,Tonight,The Cart,7
Tiësto,Wasted,A Town Called Paradise,2
Tiësto,Wasted,A Town Called Paradise,7
Julia Michaels,Issues,Nervous System,2
Julia Michaels,Issues,Nervous System,6
NAV,Myself,NAV,2
NAV,Myself,NAV,3
NAV,Myself,NAV,7
NAV,Myself,NAV,6
Young the Giant,Repeat,Home of the Strange,2
Young the Giant,Repeat,Home of the Strange,3
Jake Mirador,Rabbit Hole,Rabbit Hole,2
Noah Gundersen,Cigarettes,Ledges,2
Meghan Trainor,3am,Title,2
Meghan Trainor,3am,Title,2
Meghan Trainor,3am,Title,4
NAWAS,So Low,So Low,8
Beck,Loser,Mellow Gold,2
Cheeky Chappy,I,You Got Me Around Your Finger,8
Cheeky Chappy,I,You Got Me Around Your Finger,0
Cheeky Chappy,I,You Got Me Around Your Finger,7
Colbie Caillat,Realize,Coco,2
Youth Lagoon,Sleep Paralysis,Wondrous Bughouse,2
Youth Lagoon,Sleep Paralysis,Wondrous Bughouse,8
Ed Sheeran,Perfect,÷,2
Ed Sheeran,Perfect,÷,2
Ed Sheeran,Perfect,÷,3
Ed Sheeran,Perfect,÷,5
Ed Sheeran,Perfect,÷,4
Ed Sheeran,Perfect,÷,4
Ed Sheeran,Perfect,÷,2
Fantasia,Bittersweet,Back To Me,2
Owl City,Hot Air Balloon,Ocean Eyes,4
Russ,Waste My Time,Waste My Time,8
JR JR,Gone,JR JR,2
JR JR,Gone,JR JR,3
JR JR,Gone,JR JR,0
JR JR,Gone,JR JR,0
Midland,Burn Out,On The Rocks,2
Frank Ocean,Lost,channel ORANGE,2
Frank Ocean,Lost,channel ORANGE,2
Frank Ocean,Lost,channel ORANGE,4
Frank Ocean,Lost,channel ORANGE,2
Frank Ocean,Lost,channel ORANGE,2
Frank Ocean,Lost,channel ORANGE,8
Frank Ocean,Lost,channel ORANGE,2
Frank Ocean,Lost,channel ORANGE,2
Frank Ocean,Lost,channel ORANGE,2
Frank Ocean,Lost,channel ORANGE,2
Frank Ocean,Lost,channel ORANGE,3
Frank Ocean,Lost,channel ORANGE,4
Kenny Chesney,Don't Blink,Just Who I Am: Poets & Pirates,2
Blue October,Hate Me,Foiled,2
Blue October,Hate Me,Foiled,4
Blue October,Hate Me,Foiled,3
Blue October,Hate Me,Foiled,2
Yellow Claw,Run Away,Run Away,2
XY&O,Low Tide,Shimmer + Shade,2
Tweedy,Low Key,Sukierae,2
Tweedy,Low Key,Sukierae,3
Monica,So Gone,After The Storm,8
Monica,So Gone,After The Storm,0
Monica,So Gone,After The Storm,0
Monica,So Gone,After The Storm,6
The Aces,Stuck,Stuck,8
Ariana Grande,Focus,Dangerous Woman,2
Ariana Grande,Focus,Dangerous Woman,8
Ariana Grande,Focus,Dangerous Woman,2
Ariana Grande,Focus,Dangerous Woman,7
DJ Snake,Talk,Encore,2
DJ Snake,Talk,Encore,8
DJ Snake,Talk,Encore,2
Wiz Khalifa,When I'm Gone,Rolling Papers,2
Wiz Khalifa,When I'm Gone,Rolling Papers,5
Wiz Khalifa,When I'm Gone,Rolling Papers,4
Wiz Khalifa,When I'm Gone,Rolling Papers,1
Wiz Khalifa,When I'm Gone,Rolling Papers,6
Usher,Crash,Hard II Love,2
Usher,Crash,Hard II Love,3
Usher,Crash,Hard II Love,5
Icona Pop,Emergency,Emergency,2
Trippie Redd,Love Scars,A Love Letter To You,2
Trippie Redd,Love Scars,A Love Letter To You,2
Trippie Redd,Love Scars,A Love Letter To You,6
The Cranberries,Zombie,When You're Gone,8
Iamjakehill,Burn,Semi Serious 2,8
Iamjakehill,Burn,Semi Serious 2,4
Iamjakehill,Burn,Semi Serious 2,3
Iamjakehill,Burn,Semi Serious 2,7
Iamjakehill,Burn,Semi Serious 2,1
Squeeze,Hourglass,Babylon And On,2
Young Money,Moment,Rise Of An Empire,2
XXXTENTACION,I Don't Wanna Do This Anymore,Revenge,2
XXXTENTACION,I Don't Wanna Do This Anymore,Revenge,3
XXXTENTACION,Slipknot,"Members Only, Vol. 3",8
XXXTENTACION,Slipknot,"Members Only, Vol. 3",3
XXXTENTACION,Slipknot,"Members Only, Vol. 3",6
Beast,Good Luck,Good Luck,2
Dierks Bentley,Mardi Gras,Black,2
N.O.R.E.,Nothin',God's Favorite,4
Mac Miller,Knock Knock,Knock Knock - Single,2
Mac Miller,Knock Knock,Knock Knock - Single,5
Pantera,Walk,Vulgar Display Of Power,4
Nas,Ether,Stillmatic,2
Nas,Ether,Stillmatic,0
Muse,Dead Inside,Drones,4
Kanye West,Heartless,808s & Heartbreak,2
Kanye West,Heartless,808s & Heartbreak,4
Kanye West,Heartless,808s & Heartbreak,0
Kanye West,Heartless,808s & Heartbreak,0
Future,No Cap,SUPER SLIMEY,8
Future,No Cap,SUPER SLIMEY,3
Jem,24,Finally Woken,8
Jem,24,Finally Woken,5
Jem,24,Finally Woken,5
Imagine Dragons,Battle Cry,Smoke + Mirrors,2
Imagine Dragons,Battle Cry,Smoke + Mirrors,5
Twenty One Pilots,Trees,Vessel,2
Twenty One Pilots,Trees,Vessel,0
Will Smith,Miami,Big Willie Style,2
Will Smith,Miami,Big Willie Style,1
Slightly Stoopid,Basher,Closer To The Sun,2
X Ambassadors,Stranger,Love Songs Drug Songs,2
X Ambassadors,Stranger,Love Songs Drug Songs,3
G-Eazy,Bone Marrow,Bone Marrow,2
Shakey Graves,Wither,Shakey Graves And The Horse He Rode In On (Nobody's Fool and The Donor Blues EP),8
Armin van Buuren,Alone,Intense,2
Armin van Buuren,Alone,Intense,2
Armin van Buuren,Alone,Intense,2
Armin van Buuren,Alone,Intense,4
Armin van Buuren,Alone,Intense,3
Armin van Buuren,Alone,Intense,7
Armin van Buuren,Alone,Intense,0
Armin van Buuren,Alone,Intense,0
Cody Johnson,Proud,Cowboy Like Me,2
Halsey,Colors,BADLANDS,4
Halsey,Colors,BADLANDS,5
Halsey,Colors,BADLANDS,5
Halsey,Colors,BADLANDS,4
Halsey,Colors,BADLANDS,1
Raury,Her,All We Need,8
Raury,Her,All We Need,3
Raury,Her,All We Need,7
The Who,Bargain,Who's Next,8
Rick Ross,Dead Presidents,Rather You Than Me,2
Lia Marie Johnson,DNA,DNA,4
Lia Marie Johnson,DNA,DNA,3
Lia Marie Johnson,DNA,DNA,3
Lia Marie Johnson,DNA,DNA,6
Lia Marie Johnson,DNA,DNA,1
Gotye,Save Me,Making Mirrors,2
Gotye,Save Me,Making Mirrors,5
Gotye,Save Me,Making Mirrors,4
Gotye,Save Me,Making Mirrors,4
Gotye,Save Me,Making Mirrors,8
SiR,All in My Head,HER,8
G-Eazy,Drifting,When It's Dark Out,2
G-Eazy,Drifting,When It's Dark Out,8
Papa Roach,Forever,The Paramour Sessions,8
Papa Roach,Forever,The Paramour Sessions,8
Papa Roach,Forever,The Paramour Sessions,2
Papa Roach,Forever,The Paramour Sessions,2
Papa Roach,Forever,The Paramour Sessions,2
Papa Roach,Forever,The Paramour Sessions,2
Papa Roach,Forever,The Paramour Sessions,0
Papa Roach,Forever,The Paramour Sessions,0
Papa Roach,Forever,The Paramour Sessions,0
Papa Roach,Forever,The Paramour Sessions,6
Papa Roach,Forever,The Paramour Sessions,1
Lady Gaga,The Cure,The Cure,2
Lady Gaga,The Cure,The Cure,2
Lil Wayne,Love Me,I Am Not A Human Being II,2
Lil Wayne,Love Me,I Am Not A Human Being II,7
Lil Wayne,Love Me,I Am Not A Human Being II,0
Lupe Fiasco,Battle Scars,Food & Liquor II: The Great American Rap Album Pt. 1,2
Lupe Fiasco,Battle Scars,Food & Liquor II: The Great American Rap Album Pt. 1,5
Lupe Fiasco,Battle Scars,Food & Liquor II: The Great American Rap Album Pt. 1,0
HEIZE,Star,Star,2
Rascal Flatts,Changed,Changed,2
Usher,Moving Mountains,Here I Stand (Deluxe Version),8
Usher,Moving Mountains,Here I Stand (Deluxe Version),0
XXXTENTACION,YuNg BrAtZ,Revenge,4
XXXTENTACION,YuNg BrAtZ,Revenge,1
Lil Xan,Betrayed,Betrayed,8
Lil Xan,Betrayed,Betrayed,3
Anuhea,Looking for Love,For Love,2
The Weeknd,What You Need,Trilogy,2
The Weeknd,What You Need,Trilogy,8
Bryson Tiller,Overtime,T R A P S O U L,2
Bryson Tiller,Overtime,T R A P S O U L,5
Bryson Tiller,Overtime,T R A P S O U L,0
Bryson Tiller,Overtime,T R A P S O U L,7
Young Dolph,Loyalty,Bossed Up,2
Luke Bryan,Fast,Kill The Lights,2
Luke Bryan,Fast,Kill The Lights,3
Lecrae,Fear,Anomaly,2
Lecrae,Fear,Anomaly,2
Lecrae,Fear,Anomaly,2
Miguel,Pay Me,All I Want Is You,8
Miguel,Pay Me,All I Want Is You,3
Alicia Keys,No One,As I Am,2
Alicia Keys,No One,As I Am,0
Alicia Keys,No One,As I Am,0
Fetty Wap,Again,Fetty Wap,2
Ghostemane,Death by Dishonor,Death by Dishonor,2
XXXTENTACION,RIP Roach,Revenge,2
XXXTENTACION,RIP Roach,Revenge,6
Cooliecut,Chokehold,"Members Only, Vol. 3",8
Kelly Clarkson,Piece by Piece,Piece By Piece (Deluxe Version),8
